Titlul cursului,Acronim,Dependente de alte cursuri,Element cheie 1,Element cheie 2,Element cheie 3,Element cheie 4,Link fisa disciplina
"Anul 1, Semestrul 1",,,,,,,,
Algebra 1,MI_1_1_ALG1,Niciuna,Sisteme de ecuatii,Matrice si determinanti,Spatii vectoriale,Transformari liniare,https://cursuri.fmi.unibuc.ro/course/view.php?id=10
"Analiza matematica 1",MI_1_1_ANM1,Niciuna,Limite si continuitate,Derivate,Integrale,Teoreme fundamentale,https://cursuri.fmi.unibuc.ro/course/view.php?id=12
"Geometrie 1",MI_1_1_GEO1,Niciuna,Vectori,Dreapta si plan,Conice,Cuadrice,https://cursuri.fmi.unibuc.ro/course/view.php?id=14
"Programare 1 (C)",MI_1_1_PRG1,Niciuna,Variabile si tipuri,Structuri de control,Functii,Pointeri,https://cursuri.fmi.unibuc.ro/course/view.php?id=18
"Logica matematica",MI_1_1_LGM,Niciuna,Propozitii si predicat,Demonstratii logice,Teoria multimilor,Relatii si functii,https://cursuri.fmi.unibuc.ro/course/view.php?id=16
"Anul 1, Semestrul 2",,,,,,,,
"Algebra 2",MI_1_2_ALG2,MI_1_1_ALG1,Grupuri,Inele,Polinoame,Corpuri,https://cursuri.fmi.unibuc.ro/course/view.php?id=11
"Analiza matematica 2",MI_1_2_ANM2,MI_1_1_ANM1,Serii numerice,Functii de mai multe variabile,Integrale multiple,Ecuatii diferentiale,https://cursuri.fmi.unibuc.ro/course/view.php?id=13
"Structuri de date",MI_1_2_SDD,MI_1_1_PRG1,Liste,Stive si cozi,Arbori,Algoritmi de sortare,https://cursuri.fmi.unibuc.ro/course/view.php?id=22
"Geometrie 2",MI_1_2_GEO2,MI_1_1_GEO1,Geometrie diferentiala,Curbe si suprafete,Metrici,Transformari geometrice,https://cursuri.fmi.unibuc.ro/course/view.php?id=15
"Fundamentele informaticii",MI_1_2_FI,Niciuna,Aritmetica binara,Logica digitala,Automate finite,Limbaje formale,https://cursuri.fmi.unibuc.ro/course/view.php?id=19
"Anul 2, Semestrul 1",,,,,,,,
"Analiza matematica 3",MI_2_1_ANM_3,MI_1_2_ANM2,Spatii metrice,Integrala Lebesgue,Serii de functii,Analiza functionala,https://cursuri.fmi.unibuc.ro/course/view.php?id=23
"Algebra liniara",MI_2_1_ALL,MI_1_1_ALG1,Forme biliniare,Forme cuadratice,Diagonalizare,Valori proprii,https://cursuri.fmi.unibuc.ro/course/view.php?id=24
"Probabilitati si statistica",MI_2_1_PSS,MI_1_1_ANM1,Variabile aleatoare,Distributii,Teste de ipoteza,Regresie,https://cursuri.fmi.unibuc.ro/course/view.php?id=30
"Programare orientata pe obiecte",MI_2_1_POO,MI_1_1_PRG1,Clase si obiecte,Mostenire,Polimorfism,Encapsulare,https://cursuri.fmi.unibuc.ro/course/view.php?id=20
"Sisteme de operare",MI_2_1_SDO,MI_1_1_PRG1,Procese si thread-uri,Gestionare memorie,Sincronizare,Sistem de fisiere,https://cursuri.fmi.unibuc.ro/course/view.php?id=28
"Anul 2, Semestrul 2",,,,,,,,
"Analiza numerica",MI_2_2_ANN,MI_1_2_ANM2,Interpolare,Aproximare,Metode iterative,Erori numerice,https://cursuri.fmi.unibuc.ro/course/view.php?id=27
"Structuri algebrice",MI_2_2_STA,MI_1_2_ALG2,Teoria Galois,Module,Algebre,Extensii de corpuri,https://cursuri.fmi.unibuc.ro/course/view.php?id=15
